k_folds,seed,mean_score,std_score,raw_scores
3,0,0.8282828282828283,0.021820675752215003,0.8586;0.8182;0.8081
3,1,0.8451178451178452,0.025196346038881743,0.8182;0.8384;0.8788
3,2,0.8215488215488215,0.05613916498495984,0.7677;0.7980;0.8990
5,0,0.8315254237288137,0.03600319888185566,0.8667;0.8333;0.8475;0.7627;0.8475
5,1,0.8250282485875706,0.035861957417098966,0.8000;0.8167;0.7797;0.8475;0.8814
5,2,0.8420903954802261,0.05999723359619934,0.7833;0.8000;0.8136;0.9492;0.8644
10,0,0.8350574712643677,0.0506145350012111,0.8333;0.8000;0.9000;0.8333;0.8333;0.9000;0.7333;0.8276;0.8966;0.7931
10,1,0.8252873563218392,0.04053415315106425,0.8333;0.7667;0.8000;0.8667;0.8000;0.7667;0.8333;0.8966;0.8621;0.8276
10,2,0.8355172413793104,0.08068842714459963,0.7667;0.8333;0.7333;0.8667;0.8667;0.7000;0.9333;0.9310;0.7931;0.9310
20,0,0.8350000000000002,0.07830799995621684,1.0000;0.7333;0.8000;0.8667;0.8667;0.8667;0.8667;0.8000;0.8000;0.8667;0.8000;1.0000;0.7333;0.8000;0.8667;0.7333;0.8000;0.8571;0.9286;0.7143
20,1,0.8288095238095238,0.09972155110657899,0.8667;0.8000;0.6667;0.8667;0.7333;0.8667;1.0000;0.7333;0.8000;0.8000;0.8667;0.6667;1.0000;0.6667;0.8667;0.9333;0.8000;0.9286;0.9286;0.7857
20,2,0.8354761904761905,0.10200345687975239,0.8000;0.7333;0.7333;0.9333;0.7333;0.7333;0.9333;0.8000;0.7333;1.0000;0.7333;0.6667;0.8667;0.9333;1.0000;0.9333;0.8000;0.7857;0.9286;0.9286
