feature,perm_mean,perm_std
duration,0.2270006025001982,0.0058109103621613815
contact_unknown,0.0374724939128541,0.0016855273657984113
day,0.022666519099493042,0.0014038030327651499
month_may,0.013126336834305353,0.0014791060229295354
poutcome_success,0.01069713652607147,0.0009407401355456621
month_jul,0.009126623288230684,0.0009196958224432495
month_jun,0.0077687606606432254,0.0007025750700645405
housing_yes,0.006908889896343906,0.00040240844630871886
pdays,0.005795613940599886,0.0004354840597735304
month_aug,0.0051601005192865035,0.0002474976120202649
month_nov,0.004898717230913774,0.0003505421379635008
month_mar,0.0031643689195123502,0.00036155671013883263
month_feb,0.0031585451454937408,0.0003211640170784772
month_jan,0.003091749298365376,0.000377861511974335
campaign,0.0024274602781917177,0.00047807733400422937
balance,0.0019866645044525066,0.0005012957128541082
age,0.0019066112855744555,0.00032102580644526095
month_oct,0.001358099366368637,0.00011906811304964684
month_sep,0.0007814273691337359,0.0001862822029979026
education_tertiary,0.0007031496911150681,0.00015798111463678988
previous,0.0006395971652898291,0.0001791987922187613
loan_yes,0.0004622561442590989,0.00014354992110490313
marital_married,0.00037330154720636164,0.00020746456102979573
contact_telephone,0.00032800158141506054,0.00019866636970616172
job_blue-collar,0.000169599662883968,0.00019737830076916774
job_management,0.00016050889368410815,7.085161023751592e-05
month_dec,0.0001303720468316172,5.105081758825879e-05
job_housemaid,0.0001260870748911236,3.486732298456094e-05
education_secondary,0.00010680470115873587,0.00015953911745133614
job_entrepreneur,7.462006384841846e-05,1.810124599170447e-05
marital_single,1.2783894187262667e-05,4.298554718000114e-05
job_unknown,7.812379781135802e-06,1.3512994886480833e-05
poutcome_unknown,3.4090384498863814e-06,1.360401645241142e-05
education_unknown,1.088998393705687e-06,7.466622564922386e-06
job_unemployed,0.0,0.0
job_student,-1.515128200013649e-06,4.7253760510305274e-05
job_retired,-4.284971940538007e-06,5.369014263851056e-06
job_self-employed,-2.045423069962915e-05,1.160826592115424e-05
poutcome_other,-2.65147434994617e-05,4.610672380831618e-05
job_services,-5.404746375825553e-05,3.1795137654672095e-05
default_yes,-5.518380990821026e-05,2.8738703458436963e-05
job_technician,-5.660424259572583e-05,4.822185925042163e-05
