l1_ratio,alpha,cv_r2_mean,cv_r2_std
0.1,0.001,-0.8362016431868827,2.7043758914625435
0.1,0.0031622776601683794,-0.7188523640365274,2.6258255113523714
0.1,0.01,-0.10972019248082354,1.4572684845420705
0.1,0.03162277660168379,0.41812757472671747,0.367680467271838
0.1,0.1,0.5729142971824788,0.018568191494193056
0.1,0.31622776601683794,0.5341640929425179,0.010038591089571336
0.1,1.0,0.4597460558951113,0.009057794419921732
0.1,3.1622776601683795,0.2904414674996624,0.005118801400995251
0.1,10.0,-0.00012407426113414388,0.00011005660556482638
0.1,31.622776601683793,-0.00012407426113414388,0.00011005660556482638
0.1,100.0,-0.00012407426113414388,0.00011005660556482638
0.1,316.22776601683796,-0.00012407426113414388,0.00011005660556482638
0.1,1000.0,-0.00012407426113414388,0.00011005660556482638
0.3,0.001,-0.9436690625831539,2.909943760944146
0.3,0.0031622776601683794,-0.593808307333455,2.394057524624342
0.3,0.01,0.17841998705550322,0.8680218196381483
0.3,0.03162277660168379,0.5559607381146563,0.07853298769912868
0.3,0.1,0.5612122647032766,0.010273730775890383
0.3,0.31622776601683794,0.4926190570277173,0.010386144376759396
0.3,1.0,0.37821275740001836,0.006847237079714223
0.3,3.1622776601683795,-0.00012407426113414388,0.00011005660556482638
0.3,10.0,-0.00012407426113414388,0.00011005660556482638
0.3,31.622776601683793,-0.00012407426113414388,0.00011005660556482638
0.3,100.0,-0.00012407426113414388,0.00011005660556482638
0.3,316.22776601683796,-0.00012407426113414388,0.00011005660556482638
0.3,1000.0,-0.00012407426113414388,0.00011005660556482638
0.5,0.001,-1.0745794333449474,3.162773972516684
0.5,0.0031622776601683794,-0.4669489993011039,2.1392857394376157
0.5,0.01,0.28645308954552345,0.6355846995615819
0.5,0.03162277660168379,0.5873103897037447,0.009159584639672839
0.5,0.1,0.5362160420507031,0.01142136418179513
0.5,0.31622776601683794,0.4724058660341446,0.009954239216909407
0.5,1.0,0.25298501044830746,0.003688423920944385
0.5,3.1622776601683795,-0.00012407426113414388,0.00011005660556482638
0.5,10.0,-0.00012407426113414388,0.00011005660556482638
0.5,31.622776601683793,-0.00012407426113414388,0.00011005660556482638
0.5,100.0,-0.00012407426113414388,0.00011005660556482638
0.5,316.22776601683796,-0.00012407426113414388,0.00011005660556482638
0.5,1000.0,-0.00012407426113414388,0.00011005660556482638
0.7,0.001,-1.1020013783292106,3.2112368425005933
0.7,0.0031622776601683794,-0.3183494697648913,1.824687561972183
0.7,0.01,0.3864814251906341,0.43407661895568034
0.7,0.03162277660168379,0.5842403355505439,0.009120909967232197
0.7,0.1,0.5076663699950352,0.01139006862395598
0.7,0.31622776601683794,0.4537937694787402,0.00912272044540312
0.7,1.0,0.09305893317219208,0.001639282453662822
0.7,3.1622776601683795,-0.00012407426113414388,0.00011005660556482638
0.7,10.0,-0.00012407426113414388,0.00011005660556482638
0.7,31.622776601683793,-0.00012407426113414388,0.00011005660556482638
0.7,100.0,-0.00012407426113414388,0.00011005660556482638
0.7,316.22776601683796,-0.00012407426113414388,0.00011005660556482638
0.7,1000.0,-0.00012407426113414388,0.00011005660556482638
0.9,0.001,-1.0635686674055642,3.1276424588536473
0.9,0.0031622776601683794,-0.16507629692102788,1.5240188361885258
0.9,0.01,0.48072569577730084,0.24343228118865667
0.9,0.03162277660168379,0.5799282532119611,0.009823642196409669
0.9,0.1,0.503679731267594,0.011308886897572468
0.9,0.31622776601683794,0.4300243998242241,0.008320483480492117
0.9,1.0,-0.00012407426113414388,0.00011005660556482638
0.9,3.1622776601683795,-0.00012407426113414388,0.00011005660556482638
0.9,10.0,-0.00012407426113414388,0.00011005660556482638
0.9,31.622776601683793,-0.00012407426113414388,0.00011005660556482638
0.9,100.0,-0.00012407426113414388,0.00011005660556482638
0.9,316.22776601683796,-0.00012407426113414388,0.00011005660556482638
0.9,1000.0,-0.00012407426113414388,0.00011005660556482638
