k,weights,metric,scaled,train_r2,test_r2,test_mae
1,uniform,euclidean,True,1.0,0.527628400838309,0.5172981371124031
1,uniform,euclidean,False,1.0,-0.22316742181204785,0.9398235222868216
1,uniform,manhattan,True,1.0,0.5642566645990624,0.4939938614341085
1,uniform,manhattan,False,1.0,-0.1480870318318097,0.9018760828488372
1,distance,euclidean,True,1.0,0.527628400838309,0.5172981371124031
1,distance,euclidean,False,1.0,-0.22316742181204807,0.9398235222868216
1,distance,manhattan,True,1.0,0.5642566645990624,0.4939938614341085
1,distance,manhattan,False,1.0,-0.1480870318318097,0.9018760828488371
3,uniform,euclidean,True,0.8472347859914402,0.6689131422466366,0.4436885020994832
3,uniform,euclidean,False,0.5790829276896606,0.10900966193525863,0.8232814405684754
3,uniform,manhattan,True,0.8584191711507877,0.7025856121235836,0.4186825823643411
3,uniform,manhattan,False,0.6161856730834981,0.2131091071574801,0.7680424709302327
3,distance,euclidean,True,1.0,0.6711900058708326,0.44110827401507846
3,distance,euclidean,False,1.0,0.12371661716959304,0.8155822666782422
3,distance,manhattan,True,1.0,0.703246645918578,0.41679709749199173
3,distance,manhattan,False,1.0,0.22538152736386197,0.76244112257009
5,uniform,euclidean,True,0.8073438438722331,0.6898252870009414,0.430758769379845
5,uniform,euclidean,False,0.4512565087131998,0.14312051440566032,0.8141586656976745
5,uniform,manhattan,True,0.8260115860931394,0.7273390485106765,0.4048293493217054
5,uniform,manhattan,False,0.5076177575370723,0.25993226442436224,0.7527815029069768
5,distance,euclidean,True,1.0,0.6927419039267619,0.4279347062619731
5,distance,euclidean,False,1.0,0.16470913720370606,0.8027330021490737
5,distance,manhattan,True,1.0,0.7290172379204587,0.40167455115358497
5,distance,manhattan,False,1.0,0.2769632494690524,0.743152948342597
10,uniform,euclidean,True,0.7673695495516428,0.700171519423308,0.42732068023255815
10,uniform,euclidean,False,0.323545216330437,0.16103204926382153,0.8106472124515504
10,uniform,manhattan,True,0.7921565837265088,0.7365638905136792,0.3975928573158915
10,uniform,manhattan,False,0.396228047405372,0.258306257888279,0.7567306785368215
10,distance,euclidean,True,1.0,0.7041316593023492,0.42319606044288655
10,distance,euclidean,False,1.0,0.18891129190699685,0.7957226983820844
10,distance,manhattan,True,1.0,0.7397005056122035,0.3937743936191553
10,distance,manhattan,False,1.0,0.28371318506068055,0.7433315000930305
20,uniform,euclidean,True,0.7362810489960172,0.6968729761741619,0.4345022524224806
20,uniform,euclidean,False,0.2194548775188676,0.13048424367823153,0.8281965539001936
20,uniform,manhattan,True,0.7644652765969905,0.7271407615800881,0.4085522204457364
20,uniform,manhattan,False,0.3076272215540221,0.2257494425692953,0.7726899869186046
20,distance,euclidean,True,1.0,0.7021231849572509,0.4291041617775268
20,distance,euclidean,False,1.0,0.16414860686287747,0.8103941821948019
20,distance,manhattan,True,1.0,0.7324159902398544,0.4027164817276536
20,distance,manhattan,False,1.0,0.25677438556302,0.7571364194338636
50,uniform,euclidean,True,0.7009639924805242,0.6760768916729987,0.4558349536337209
50,uniform,euclidean,False,0.11632734423346647,0.07664812308863378,0.8605301324127906
50,uniform,manhattan,True,0.7304032423936511,0.7100597948483358,0.42960439001937983
50,uniform,manhattan,False,0.21123316966234296,0.17541511678287436,0.8052965002906978
50,distance,euclidean,True,1.0,0.6835964654796698,0.4486480470379783
50,distance,euclidean,False,1.0,0.11250706527222598,0.8411856350491537
50,distance,manhattan,True,1.0,0.7170830767636638,0.4222750903993118
50,distance,manhattan,False,1.0,0.20866558882679653,0.7872855309924861
100,uniform,euclidean,True,0.6760412286892892,0.654486100323763,0.4762574065891473
100,uniform,euclidean,False,0.06634347062288048,0.047392340207412786,0.877648132243217
100,uniform,manhattan,True,0.705104146399363,0.6879257152476854,0.4518931968265504
100,uniform,manhattan,False,0.1510822399167312,0.1328291981279054,0.8301774229651162
100,distance,euclidean,True,1.0,0.6634072411721159,0.46819410536281314
100,distance,euclidean,False,1.0,0.07999048896124838,0.8600848086117941
100,distance,manhattan,True,1.0,0.6966093294181834,0.4434102202863632
100,distance,manhattan,False,1.0,0.16701382855857805,0.8114477054277482
200,uniform,euclidean,True,0.6473421301880629,0.6299677083771142,0.5013775597262596
200,uniform,euclidean,False,0.03531862852436829,0.02537815476241312,0.8908281641593992
200,uniform,manhattan,True,0.6752852598631685,0.6596130445082371,0.48122189079457367
200,uniform,manhattan,False,0.10130585280471827,0.09071430665789326,0.8551960559350774
200,distance,euclidean,True,1.0,0.6407508250128693,0.4916885050519222
200,distance,euclidean,False,1.0,0.0552357487348385,0.8746433325566214
200,distance,manhattan,True,1.0,0.6707658084732315,0.47085292703065074
200,distance,manhattan,False,1.0,0.12596840152153954,0.8358541540843404
