k,inertia,silhouette,davies_bouldin,calinski_harabasz
2,588.8026767824936,0.25181529157884364,1.613751463313486,71.02051611853268
3,476.78755441351586,0.25951265087431563,1.3574082452348044,66.77277037868548
4,386.82842558376666,0.30123231688013524,1.2918188338173229,69.78255580483048
5,325.0949800888802,0.3179935980678763,1.1492262117713794,71.21494067468372
6,275.030671001447,0.33432134408851794,1.0133603376156546,74.06013987813267
7,239.3278616726332,0.3558598760983251,0.9852843044196291,75.35668290695259
8,199.7504611206557,0.3879927454351689,0.9445296551832489,82.42277519536925
9,176.41909572933412,0.40263176897960734,0.8960992621585575,84.38992404939893
10,152.02983429775688,0.42076374869477745,0.8331029646644401,89.97819558254272
11,137.25620237716115,0.4285197321586092,0.8183012386681416,91.25895630313538
12,126.01641418723077,0.4263482622448922,0.834685800014483,91.40866503927377
