pc,explained_ratio,cumulative
1,0.44272025607526366,0.44272025607526366
2,0.1897118204403307,0.6324320765155944
3,0.09393163257431389,0.7263637090899083
4,0.0660213491547015,0.7923850582446098
5,0.05495768492346264,0.8473427431680725
6,0.04024522039883348,0.887587963566906
7,0.022507337129825077,0.9100953006967311
8,0.01588723800021329,0.9259825386969444
9,0.013896493745591128,0.9398790324425355
10,0.011689781894131501,0.951568814336667
11,0.00979718987598018,0.9613660042126472
12,0.00870537900737883,0.970071383220026
13,0.008045249871967291,0.9781166330919933
14,0.005233657454926328,0.9833502905469196
15,0.003137832167627402,0.986488122714547
16,0.002662093365152315,0.9891502160796993
17,0.001979967925324297,0.9911301840050236
18,0.0017539594502263805,0.99288414345525
19,0.0016492530592251801,0.9945333965144751
20,0.0010386467483387075,0.9955720432628139
21,0.0009990964637002424,0.9965711397265141
22,0.0009146467510543373,0.9974857864775685
23,0.0008113612588991106,0.9982971477364676
24,0.0006018335666716466,0.9988989813031393
25,0.0005160423791651905,0.9994150236823044
26,0.0002725879954774819,0.9996876116777819
27,0.00023001546250597032,0.9999176271402879
28,5.297792903811137e-05,0.999970605069326
29,2.496010324689819e-05,0.9999955651725729
30,4.434827427370785e-06,1.0000000000000002
